model,bic_sigmoid,bic_linear,better_fit,delta_bic,sigmoid_midpoint,linear_slope
haiku,-2345.615125048262,-2223.1419898161103,sigmoid,122.47313523215189,1.6599146271260847,-0.03368298368298395
sonnet,-3051.4441310675948,-4090.756591490193,linear,1039.3124604225982,14.999999999999998,-0.003146853146853257
gpt4o-mini,-3555.7528951951435,-3257.019783639807,sigmoid,298.73311155533656,10.315712713080197,-0.05710955710955723
